DocumentTitle;Authors;AuthorAffiliations;PublicationTitle;DateAddedToXplore;PublicationYear;Volume;Issue;StartPage;EndPage;Abstract;ISSN;ISBNs;DOI;FundingInformation;PDFLink;AuthorKeywords;IEEETerms;INSPECControlled Terms;INSPECNon-ControlledTerms;Mesh_Terms;ArticleCitationCount;PatentCitationCount;ReferenceCount;License;OnlineDate;IssueDate;MeetingDate;Publisher;DocumentIdentifier
Deep Learning Technique Based Tomato Plant Health Monitoring System;"V. T. S. Srinivas; J. S. Teja; R. Ruwayda; M. Yasaswini; L. R. R";"Department of Electrical and Electronics Engineering, Amrita School of Engineering, Amrita Vishwa Vidyapeetham, Coimbatore, India; Department of Electrical and Electronics Engineering, Amrita School of Engineering, Amrita Vishwa Vidyapeetham, Coimbatore, India; Department of Electrical and Electronics Engineering, Amrita School of Engineering, Amrita Vishwa Vidyapeetham, Coimbatore, India; Department of Electrical and Electronics Engineering, Amrita School of Engineering, Amrita Vishwa Vidyapeetham, Coimbatore, India; Department of Electrical and Electronics Engineering, Amrita School of Engineering, Amrita Vishwa Vidyapeetham, Coimbatore, India";2023 IEEE 2nd International Conference on Industrial Electronics: Developments & Applications (ICIDeA);31.10.2023;2023;;;522;527;Agriculture is crucial for society, by providing food, raw materials, and livelihoods. Timely detection and management of plant diseases are vital to minimize crop losses and maximize productivity. However, manual disease detection is time-consuming and subjective. This calls for automated solutions to plant health detection. Deep learning models have proved to give a promising solution to real-time image-based disease detection. There exist numerous research works that utilize these deep learning techniques to classify plant diseases. An efficient deep learning-based model is very important for the leaf disease classification problem. The work focusses on detecting and identification of disease in the leaf of tomato plant, one of the vegetables cultivated in the Ettimadai Village, Coimbatore, Tamil Nadu, India. The work employs convolutional neural network and VGG-16 that are trained, tested, and validated using available image samples. The models are fed with data available in Kaggle and tomato leaf images captured from J. P. Nursery, Mettankadu, Madukkarai, Tamil Nadu, India. The models are analysed for its performance and the best model is selected for real time prediction of diseases. The proposed work enhances disease identification, enables early detection, and potentially minimizes crop losses, thereby improving yields and income. The leveraging performance of artificial intelligence-based systems for plant disease detection contribute to food security, economic development, and sustainable farming practices.;;979-8-3503-8197-9;10.1109/ICIDeA59866.2023.10295250;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10295250;"artificial intelligence;convolutional neural network;deep learning;disease prediction;VGG-16";"Deep learning;Plant diseases;Analytical models;Biological system modeling;Crops;Predictive models;Real-time systems";;;;;;19;IEEE;31.10.2023;;;IEEE;IEEE Conferences
InsectEye: An Intelligent Trap for Insect Biodiversity Monitoring;"E. Homan; C. Mathis; C. Lee; H. Patch; C. Grozinger; V. Narayanan";"School of Electrical Engineering and Computer Science, The Pennsylvania State University, University Park, PA; Department of Entomology, The Pennsylvania State University, University Park, PA; School of Electrical Engineering and Computer Science, The Pennsylvania State University, University Park, PA; School of Electrical Engineering and Computer Science, The Pennsylvania State University, University Park, PA; Department of Entomology, The Pennsylvania State University, University Park, PA; School of Electrical Engineering and Computer Science, The Pennsylvania State University, University Park, PA";2023 36th International Conference on VLSI Design and 2023 22nd International Conference on Embedded Systems (VLSID);10.4.2023;2023;;;1;6;Insect populations have seen dramatic declines in the past few years, and it is becoming increasingly important to study these declines to understand the root causes and effects. Unfortunately, current methods for monitoring insect biodiversity are either extremely labor intensive or limited in scope. In this paper we introduce InsectEye, an insect biodiversity monitoring trap that captures high quality insect images across a wide array of species. We will cover the hardware design and decisions required to enable long-term use in the field and describe the motion detection algorithm enhancements needed to operate at a challenging macro scale. Finally, we will report the results from a months-long deployment and review the results that InsectEye produced.;2380-6923;979-8-3503-4678-7;10.1109/VLSID57277.2023.00085;"Foundation for Food and Agriculture Research(grant numbers:549032); NSF(grant numbers:1822923); ";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10089975;"Artificial Intelligence;Motion Detection;Entomology;Biodiversity";"Tracking;Insects;Visual analytics;Soft sensors;Sociology;Very large scale integration;Hardware";"image motion analysis;zoology";"dramatic declines;hardware design;high quality insect images;insect biodiversity monitoring trap;insect populations;InsectEye;intelligent trap";;;;19;IEEE;10.4.2023;;;IEEE;IEEE Conferences
Plant Detection and Counting: Enhancing Precision Agriculture in UAV and General Scenes;"D. Lu; J. Ye; Y. Wang; Z. Yu";"College of Robotics, Guangdong Polytechnic of Science and Technology, Guangzhou, China; College of Robotics, Guangdong Polytechnic of Science and Technology, Guangzhou, China; College of Robotics, Guangdong Polytechnic of Science and Technology, Guangzhou, China; College of Robotics, Guangdong Polytechnic of Science and Technology, Guangzhou, China";IEEE Access;25.10.2023;2023;11;;116196;116205;Plant detection and counting play a crucial role in modern agriculture, providing vital references for precision management and resource allocation. This study follows the footsteps of machine learning experts by introducing the state-of-the-art Yolov8 technology into the field of plant science. Moreover, we made some simple yet effective improvements. The integration of shallow-level information into the Path Aggregation Network (PANet) served to counterbalance the resolution loss stemming from the expanded receptive field. The enhancement of upsampled features was accomplished through combining the lightweight up-sampling operator Content-Aware ReAssembly of Features (CARAFE) with the Multi-Efficient Channel Attention (Mlt-ECA) technique to optimize the precision of upsampled features. This collective approach markedly amplified the discernment of small objects in Unmanned Aerial Vehicle (UAV) images, naming it Yolov8-UAV. Our evaluation is based on datasets containing four different plant species. Experimental results demonstrate the strong competitiveness of our proposed method even when compared to the most advanced counting techniques, and it possesses sufficient robustness. In order to advance the cross-disciplinary research of computer vision and plant science, we also release a new cotton boll dataset with detailed annotated bounding box information. What’s more, we address previous oversights in existing wheat ear datasets by providing updated labels consistent with global research advancements. Overall, this research offers practitioners a powerful solution for addressing real-world application challenges. For UAV scenarios, recommend using the specialized Yolov8-UAV, while Yolov8-N is a wise choice for general scenes due to its sufficient accuracy and speed in the majority of cases. Furthermore, we contribute two meaningful datasets that have research significance, effectively promoting the application of data resources in the field of plant science. In short, our contribution is to improve the use of Yolov8 in UAV scenarios and open two datasets with bounding boxes. The curated data and code can be accessed at the following link: https://github.com/Ye-Sk/Plant-dataset.;2169-3536;;10.1109/ACCESS.2023.3325747;"2022 Key Scientific Research Project of Ordinary Universities in Guangdong Province(grant numbers:2022ZDZX4075); 2022 Guangdong Province Ordinary Universities Characteristic Innovation(grant numbers:2022KTSCX251); Collaborative Intelligent Robot Production and Education Integrates Innovative Application Platform Based on the Industrial Internet(grant numbers:2020CJPT004); 2020 Guangdong Rural Science and Technology Mission Project(grant numbers:KTP20200153); Engineering Research Centre for Intelligent Equipment Manufacturing(grant numbers:2021GCZX018); Guangdong Polytechnic of Science and Technology & DOBOT Collaborative Innovation(grant numbers:K01057060); ";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10287390;"Cotton boll;detection and counting;UAV;wheat ear;Yolov8";"Autonomous aerial vehicles;Cotton;Deep learning;Annotations;Task analysis;Training;Crops;Yolo";;;;;;46;CCBYNCND;18.10.2023;;;IEEE;IEEE Journals
A Method Based on Improved Ant Colony Algorithm Feature Selection Combined With GA-SVR Model for Predicting Chlorophyll-a Concentration in Ulansuhai Lake;"C. Wu; X. Fu; H. Li; H. Hu; X. Li; L. Zhang";"College of Computer and Information Engineering, Inner Mongolia Agricultural University, Hohhot, China; College of Computer and Information Engineering, Inner Mongolia Agricultural University, Hohhot, China; College of Computer and Information Engineering, Inner Mongolia Agricultural University, Hohhot, China; College of Computer and Information Engineering, Inner Mongolia Agricultural University, Hohhot, China; College of Computer and Information Engineering, Inner Mongolia Agricultural University, Hohhot, China; College of Computer and Information Engineering, Inner Mongolia Agricultural University, Hohhot, China";IEEE Access;4.9.2023;2023;11;;93180;93192;Chlorophyll-a (Chl-a) is an important parameter of water bodies, but due to the complexity of optics in water bodies, it is currently difficult to accurately predict Chl-a concentration in water bodies by traditional methods. In this paper, Sentinel-2 remote sensing images is used as the data source combined with measured data, and Ulansuhai Lake is taken as the study area. An adaptive ant colony exhaustive optimization (A-ACEO) algorithm is proposed for feature selection and combined with a novel intelligent algorithm of optimizing support vector regression (SVR) by genetic algorithm (GA) for prediction of Chl-a concentration. The ant colony optimization (ACO) algorithm is improved to select remote sensing feature bands for Chl-a concentration by introducing relevant optimization strategies. The GA-SVR model is built by optimizing SVR using GA with the selected feature bands as input, and comparing with the traditional SVR model. The simulation results show that under the same conditions, using A-ACEO algorithm to select feature bands as inputs can effectively reduce the model complexity, and improve the model prediction performance, which provides a valuable reference for monitoring Chl-a concentration in lakes.;2169-3536;;10.1109/ACCESS.2023.3310250;"National Natural Science Foundation of China(grant numbers:62041211,61962047); National Key Research and Development Program of China(grant numbers:2019YFC049205); Natural Science Foundation of Inner Mongolia Autonomous Region of China(grant numbers:2020MS06011,2019MS06015,2021MS06009); Basic Research Operation Funds for Universities under Inner Mongolia Autonomous Region(grant numbers:BR22-14-05); Research Program of Science and Technology at Universities of Inner Mongolia Autonomous Region(grant numbers:NJZZ23044); Program for Innovative Research Team in Universities of Inner Mongolia Autonomous Region(grant numbers:NMGIRT2313); ";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10234569;"Chlorophyll-a (Chl-a);genetic algorithm;lake;machine learning algorithm;remote sensing;support vector regression";"Lakes;Remote sensing;Predictive models;Data models;Prediction algorithms;Monitoring;Analytical models;Machine learning;Support vector machines;Chlorophyll";"ant colony optimisation;feature selection;genetic algorithms;geophysical image processing;hydrological techniques;lakes;optimisation;regression analysis;remote sensing;support vector machines;water quality";"A-ACEO algorithm;adaptive ant colony exhaustive optimization algorithm;ant colony optimization algorithm;data source;GA-SVR model;genetic algorithm;improved ant colony algorithm feature selection combined;intelligent algorithm;lakes;model complexity;model prediction performance;monitoring Chl-a concentration;predicting chlorophyll-a concentration;relevant optimization strategies;remote sensing feature bands;selected feature bands;Sentinel-2 remote sensing images;traditional SVR model;Ulansuhai Lake;water bodies";;;;35;CCBYNCND;30.8.2023;;;IEEE;IEEE Journals
An Efficient IoMT-Based Heart Disease Prediction System Using Cuttlefish Algorithm with Cascaded LSTM;"S. Kiruthiga; R. P. Narmadha; M. A. A. Walid; S. N. Bhat; G. G. S; P. V. Upadhye";"Department of CSE, School of Computing, Veltech Rangarajan Dr.Sakunthala R&D, Institute of Science and Technology, Chennai; Information Technology, Dr.NGP Institute of Technology, Coimbatore; Department of Computer Science and Engineering, Khulna University of Engineering & Technology (KUET), Khulna; Biomedical Engineering, MGM's College of Engineering and Technology, Navimumbai, Maharastra; Computer Science and Engineering, Sathyabama Institute of Science and Technology, Chennai; Electronics & Telecommunication Engineering, G H Raisoni Institute of Engineering and Technology, Nagpur";2023 5th International Conference on Inventive Research in Computing Applications (ICIRCA);28.8.2023;2023;;;1441;1447;Agriculture, healthcare, and manufacturing all use the Internet of Things. In recent years, smartwatches in healthcare monitoring have proliferated. This inspired the IoMT (IoT) network. Early disease identification by the IoMT reduces mortality. Clinical statistics must address cardiovascular disease prediction. The planned study would employ machine learning to identify heart disease risk factors. Several heart disease studies have shown limited accuracy. This research develops a cardiovascular disease diagnosis model using AI and IoT convergence. The model includes data collection, preliminary processing, classification, and parameter tuning. Wearables and other Internet of Things devices, including sensors, seamlessly gather data, which artificial intelligence uses to identify ailments. The recommended technique uses a Cuttlefish-based Cascaded Long Short-Term Memory (MCFA-CLSTM) model for illness diagnosis. MCFA adjusts CLSTM model “weights” and “bias” parameters. This improves medical data classification. MCFA improves CLSTM model diagnostics. Healthcare data verified the MCFA-CLSTM model. The MCFA-LSTM model diagnosed cardiac illness with 97.26% accuracy. Thus, advanced healthcare systems may use the MCFA-LSTM model to identify sickness.;;979-8-3503-2142-5;10.1109/ICIRCA57980.2023.10220804;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10220804;"Cardiac Disease;Cascaded Long Short Term Memory;Deep Learning (DL);Internet of Things;Cuttle Fish Algorithm";"Heart;Computational modeling;Wearable computers;Medical services;Data models;Internet of Things;Wearable sensors";"cardiology;cardiovascular system;diseases;Internet of Things;learning (artificial intelligence);medical diagnostic computing;patient diagnosis;pattern classification;recurrent neural nets";"advanced healthcare systems;bias parameters;cardiovascular disease diagnosis model;cardiovascular disease prediction;cascaded LSTM;clinical statistics;CLSTM model diagnostics;cuttlefish algorithm;data classification;data collection;early disease identification;healthcare data;healthcare monitoring;heart disease risk factors;heart disease studies;Internet of Things;IoMT network;IoMT-based heart disease prediction system;long short-term memory model;MCFA-CLSTM model;medical data classification;parameter tuning";;;;27;IEEE;28.8.2023;;;IEEE;IEEE Conferences
An Emotion Recognition Method for Game Evaluation Based on Electroencephalogram;"G. Du; W. Zhou; C. Li; D. Li; P. X. Liu";"School of Computer Science and Engineering, South China University of Technology, Guangzhou, China; School of Computer Science and Engineering, South China University of Technology, Guangzhou, China; School of Information Engineering, Nanchang University, Nanchang, China; School of Computer Science and Engineering, South China University of Technology, Guangzhou, China; Department of Systems and Computer Engineering, Carleton University, Ottawa, ON, Canada";IEEE Transactions on Affective Computing;28.2.2023;2023;14;1;591;602;Players-based emotion recognition can help the understanding game players’ emotional states, contributing to the improvement of the game's quality and value. This article develops a hybrid neural network learning framework called convolutional smooth feedback fuzzy network (CSFFN) to detect a player's emotional states in real-time during a gaming process based on electroencephalogram (EEG) signals. Specifically, CSFFN rationally combines a convolutional neural network (CNN), a fuzzy neural network (FNN), and a recurrent neural network (RNN). CNN not only captures spatial characteristics between EEG signals from different channels but also eliminates noise from EEG signals, improving the accuracy and anti-noise performance in game emotion recognition. FNN extracts the membership degree of a player's different emotional states, further improving the emotion recognition accuracy. Since a player's current emotional state is influenced by the previous emotional states during the game process, RNN is employed to capture the temporal characteristics of EEG signals, better improving the emotion recognition accuracy. Experimental results show that CSFFN has higher recognition accuracy and noise resistance in identifying four emotional states (happiness, sadness, superiority, and anger) compared to support vector machine (SVM) with different kernels, linear discrimination analysis (LDA), AlexNet, and VGG16 methods.;1949-3045;;10.1109/TAFFC.2020.3023966;"National Natural Science Foundation of China(grant numbers:61973126,61863028,81660299,61503177); Guangdong Natural Science Funds for Distinguished Young Scholar(grant numbers:2017A030306015); Guangdong special projects(grant numbers:2016TQ03X824); Fundamental Research Funds for the Central Universities(grant numbers:2019ZD27); Science and Technology Planning Project of Guangdong Province(grant numbers:2017B090914002); Innovation Team of the Modern Agriculture Industry Technology System in Guangdong Province(grant numbers:2019KJ139); Key-Area Research and Development Program of Guangdong Province(grant numbers:2020B010166006); National Key R&D Program of China(grant numbers:2018YFB1700500); Science and Technology Department of Jiangxi Province of China(grant numbers:20161ACB21007,20171BBE50071,20171BAB202033); ";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9198145;"Electroencephalogram (EEG);game emotion recognition;games evaluation;feature extraction;classification";"Electroencephalography;Games;Emotion recognition;Convolution;Brain modeling;Fuzzy neural networks;Neural networks";"convolutional neural nets;electroencephalography;emotion recognition;feature extraction;fuzzy neural nets;learning (artificial intelligence);medical signal processing;recurrent neural nets;support vector machines";"anti-noise performance;captures spatial characteristics;CNN;convolutional neural network;convolutional smooth feedback fuzzy network;CSFFN;EEG signals;electroencephalogram signals;emotion recognition accuracy;emotion recognition method;FNN;fuzzy neural network;game emotion recognition;game evaluation;game process;gaming process;hybrid neural network learning framework;player;players-based emotion recognition;previous emotional states;recurrent neural network;understanding game players";;14;;39;IEEE;15.9.2020;;;IEEE;IEEE Journals
A Product Fuzzy Convolutional Network for Detecting Driving Fatigue;"G. Du; S. Long; C. Li; Z. Wang; P. X. Liu";"South China University of Technology, Guangzhou, China; South China University of Technology, Guangzhou, China; School of Information Engineering, Nanchang University, Nanchang, China; South China University of Technology, Guangzhou, China; Department of Systems and Computer Engineering, Carleton University, Ottawa, Canada";IEEE Transactions on Cybernetics;15.6.2023;2023;53;7;4175;4188;Existing driving fatigue detection methods rarely consider how to effectively fuse the advantages of the electroencephalogram (EEG) and electrocardiogram (ECG) signals to enhance detection performance under noise conditions. To address the issues, this article proposes a new type of the deep learning (DL) framework based on EEG and ECG called the product fuzzy convolutional network (PFCN). It should be noted that this article first investigates how to fuse EEG and ECG signals to deal with driving fatigue detection under noise conditions in both simulated and real-field driving environments. Specifically, the PFCN includes three subnetworks. The first uses a fuzzy neural network (FNN) with feedback and a product layer, effectively capturing the particularity and temporal variation of high-dimensional EEG signals and reducing the time-space complexity. The second subnetwork uses a 1-D convolution to convert the ECG data into feature sequences, providing high accuracy and low computational complexity in ECG data classification. The third subnetwork proposes a fusion-separation mechanism to effectively fuse the extracted ECG and EEG features, suppressing the noise interference and ensuring higher detection accuracy. To evaluate the performance of PFCN, a series of experiments has been set up in both simulated and real-field driving environments. The results indicate that the proposed PFCN model has better robustness and detection accuracy compared with several mainstream fatigue detection models.;2168-2275;;10.1109/TCYB.2021.3123842;"National Natural Science Foundation of China(grant numbers:62173176,61973126,61863028); Innovation Team of the Modern Agriculture Industry Technology System in Guangdong Province(grant numbers:2019KJ139); Key-Area Research and Development Program of Guangdong Province(grant numbers:2020B010166006); Science and Technology Department of Jiangxi Province of China(grant numbers:20204ABC03A39); ";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9714734;"Driving fatigue;electrocardiogram (ECG);electroencephalogram (EEG);noise reduction;product fuzzy convolutional network (PFCN)";"Electroencephalography;Fatigue;Electrocardiography;Feature extraction;Brain modeling;Fuzzy neural networks;Electrooculography";"computational complexity;deep learning (artificial intelligence);electrocardiography;electroencephalography;fatigue;feature extraction;fuzzy neural nets;medical signal processing";"1-D convolution;deep learning framework;detection performance;driving fatigue;ECG data classification;ensuring higher detection accuracy;fatigue detection methods;fuzzy neural network;high-dimensional EEG signals;mainstream fatigue detection models;noise conditions;noise interference;PFCN;product fuzzy convolutional network;product layer;real-field driving environments;robustness;subnetwork";"Neural Networks, Computer;Electroencephalography;Electrocardiography";6;;47;IEEE;16.2.2022;;;IEEE;IEEE Journals
Meta-AF: Meta-Learning for Adaptive Filters;"J. Casebeer; N. J. Bryan; P. Smaragdis";"Department of Computer Science, University of Illinois at Urbana-Champaign, Urbana, IL, USA; Adobe Research, San Francisco, CA, USA; Department of Computer Science and Department, University of Illinois, Urbana, IL, USA";IEEE/ACM Transactions on Audio, Speech, and Language Processing;5.12.2022;2023;31;;355;370;Adaptive filtering algorithms are pervasive throughout signal processing and have had a material impact on a wide variety of domains including audio processing, telecommunications, biomedical sensing, astrophysics and cosmology, seismology, and many more. Adaptive filters typically operate via specialized online, iterative optimization methods such as least-mean squares or recursive least squares and aim to process signals in unknown or nonstationary environments. Such algorithms, however, can be slow and laborious to develop, require domain expertise to create, and necessitate mathematical insight for improvement. In this work, we seek to improve upon hand-derived adaptive filter algorithms and present a comprehensive framework for learning online, adaptive signal processing algorithms or update rules directly from data. To do so, we frame the development of adaptive filters as a meta-learning problem in the context of deep learning and use a form of self-supervision to learn online iterative update rules for adaptive filters. To demonstrate our approach, we focus on audio applications and systematically develop meta-learned adaptive filters for five canonical audio problems including system identification, acoustic echo cancellation, blind equalization, multi-channel dereverberation, and beamforming.We compare our approach against common baselines and/or recent state-of-the-art methods. We show we can learn high-performing adaptive filters that operate in real-time and, in most cases, significantly outperform each method we compare against – all using a single general-purpose configuration of our approach.;2329-9304;;10.1109/TASLP.2022.3224288;"Adobe Research; National Institute of Food and Agriculture(grant numbers:2020-67021-32799); ";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9961879;"Adaptive filtering;meta learning;online optimization;learning to learn;deep learning";"Adaptive filters;Filtering;Task analysis;Symbols;Time-domain analysis;Signal processing algorithms;Neural networks";"adaptive filters;adaptive signal processing;echo suppression;filtering theory;iterative methods;learning (artificial intelligence);optimisation";"adaptive filtering algorithms;adaptive signal processing algorithms;hand-derived adaptive filter algorithms;meta-learned adaptive filters;meta-learning problem";;6;;101;CCBYNCND;23.11.2022;;;IEEE;IEEE Journals
Progress Toward Machine Learning Methodologies for Laser-Induced Breakdown Spectroscopy With an Emphasis on Soil Analysis;"Y. Huang; S. S. Harilal; A. Bais; A. E. Hussein";"Faculty of Engineering and Applied Science, University of Regina, Regina, Canada; Pacific Northwest National Laboratory, Richland, WA, USA; Faculty of Engineering and Applied Science, University of Regina, Regina, Canada; Department of Electrical and Computer Engineering, University of Alberta, Edmonton, Canada";IEEE Transactions on Plasma Science;21.8.2023;2023;51;7;1729;1749;Optical emission spectroscopy of laser-produced plasmas, commonly known as laser-induced breakdown spectroscopy (LIBS), is an emerging analytical tool for rapid soil analysis. However, specific challenges with LIBS exist, such as matrix effects and quantification issues, which require further study in the application of LIBS, particularly for the analysis of heterogeneous samples, such as soils. Advancements in the applications of machine learning (ML) methods can address some of these issues, advancing the potential for LIBS in soil analysis. This article aims to review the progress of LIBS application combined with ML methods, focusing on methodological approaches used in reducing matrix effect, feature selection, quantification analysis, soil classification, and self-absorption. The performance of various adopted ML approaches is discussed, including their shortcomings and advantages, to provide researchers with a clear picture of the current status of ML applications in LIBS for improving its analytical capability. The challenges and prospects of LIBS development in soil analysis are proposed, offering a path toward future research. This review article emphasizes ML tools for LIBS soil analysis, which are broadly relevant for other LIBS applications.;1939-9375;;10.1109/TPS.2022.3231985;"Alberta Innovates through the Smart Food and Agriculture Digitization Challenge(grant numbers:202100740); Natural Sciences and Engineering Research Council of Canada(grant numbers:RGPIN-2021-04373); ";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10004728;"Classification;feature extraction;laser-induced breakdown spectroscopy (LIBS);machine learning (ML);matrix effect reduction;quantitative analysis;soil analysis";"Soil;Spectroscopy;Electric breakdown;Plasmas;Feature extraction;Support vector machines;Soil measurements";"laser beam applications;learning (artificial intelligence);plasma production by laser;reviews;soil;spectrochemical analysis";"feature selection;laser-induced breakdown spectroscopy;laser-produced plasmas;machine learning methods;matrix effect;optical emission spectroscopy;rapid soil analysis;soil classification";;2;;174;IEEE;2.1.2023;;;IEEE;IEEE Journals
Impurity/Breakage Assessment of Vehicle-Mounted Dynamic Rice Grain Flow on Combine Harvester Based on Improved Deeplabv3+ and YOLOv4;"Q. Zhang; J. Hu; L. Xu; Q. Cai; X. Yu; P. Liu";"School of Agricultural Engineering, Jiangsu University, Zhenjiang, China; School of Agricultural Engineering, Jiangsu University, Zhenjiang, China; School of Agricultural Engineering, Jiangsu University, Zhenjiang, China; School of Agricultural Engineering, Jiangsu University, Zhenjiang, China; School of Agricultural Engineering, Jiangsu University, Zhenjiang, China; School of Agricultural Engineering, Jiangsu University, Zhenjiang, China";IEEE Access;25.5.2023;2023;11;;49273;49288;It is difficult to extract small and dense objects with random state, such as grain and impurity, in image of vehicle-mounted dynamic rice grain flow on combine harvester. Therefore, this paper improves Deeplabv3+ by constructing MobileNetv2 in coding layer and adding ECA(Efficient Channel Attention) to Encoder and Decoder to improve extraction accuracy of high-dimensional features in images with a large number of objects with random state. In addition, the YOLOv4 is improved by using Mixup in preprocessing, constructing Mish in Neck and Head, adding ECA to Neck and Prediction of BackBone to improve training precision of small and dense objects and reducing effect of gradient disappearance. And the impurity/breakage rates are assessed based on relationship model between pixel area and quality, improved Deeplabv3+ and YOLOv4. The proposed method was verified by experiments with images acquired on intelligent combine harvester. Compared with existing Deeplabv3+, YOLOv4, U-NET, BP, the extraction accuracy by improved method increased by more than 4.01%. The average relative error and time of impurity/breakage assessment by proposed method were 7.69% and 1.56s. The proposed method can accurately and rapidly assess impurity/breakage rates for dynamic rice grain flow on combine harvester, and further realize closed-loop control of intelligent harvesting operation.;2169-3536;;10.1109/ACCESS.2023.3276450;"Project Funded by the Priority Academic Program Development of Jiangsu Higher Education Institutions(grant numbers:PAPD-2018-87); Shandong Provincial Postdoctoral Innovation Project(grant numbers:SDCX-ZG-202203051); Key Research and Development Plan (Modern Agriculture) of Jiangsu Province(grant numbers:BE2021339); ";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10124771;"Breakage rate;grain flow;impurity rate;rice harvest;vehicle vision";"Feature extraction;Convolutional neural networks;Vehicle dynamics;Agricultural machinery;Optimization;Decoding;Impurities";"agricultural machinery;convolutional neural nets;crops;deep learning (artificial intelligence);feature extraction;fracture;impurities;object detection;random processes";"Deeplabv3+;dynamic rice grain flow;impurity/breakage assessment;intelligent combine harvester;intelligent harvesting operation;Mixup;random state;YOLOv4";;2;;38;CCBYNCND;15.5.2023;;;IEEE;IEEE Journals
Accumulated Trivial Attention Matters in Vision Transformers on Small Datasets;"X. Chen; Q. Hu; K. Li; C. Zhong; G. Wang";"Department of EECS, University of Kansas, KS, USA; Institute of Automation, Chinese Academy of Sciences, China; Department of EECS, University of Kansas, KS, USA; Department of EECS, University of Kansas, KS, USA; Department of CS, Toronto Metropolitan University, Toronto, Canada";2023 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV);6.2.2023;2023;;;3973;3981;Vision Transformers has demonstrated competitive performance on computer vision tasks benefiting from their ability to capture long-range dependencies with multi-head self-attention modules and multi-layer perceptron. However, calculating global attention brings another disadvantage compared with convolutional neural networks, i.e. requiring much more data and computations to converge, which makes it difficult to generalize well on small datasets, which is common in practical applications. Previous works are either focusing on transferring knowledge from large datasets or adjusting the structure for small datasets. After carefully examining the self-attention modules, we discover that the number of trivial attention weights is far greater than the important ones and the accumulated trivial weights are dominating the attention in Vision Transformers due to their large quantity, which is not handled by the attention itself. This will cover useful non-trivial attention and harm the performance when trivial attention includes more noise, e.g. in shallow layers for some backbones. To solve this issue, we proposed to divide attention weights into trivial and non-trivial ones by thresholds, then Suppressing Accumulated Trivial Attention (SATA) weights by proposed Trivial WeIghts Suppression Transformation (TWIST) to reduce attention noise. Extensive experiments on CIFAR-100 and Tiny-ImageNet datasets show that our suppressing method boosts the accuracy of Vision Transformers by up to 2.3%. Code is available at https://github.com/xiangyu8/SATA.;2642-9381;978-1-6654-9346-8;10.1109/WACV56688.2023.00397;"Natural Sciences and Engineering Research Council of Canada; United States Department of Agriculture; National Natural Science Foundation of China; ";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10030900;"Algorithms: Machine learning architectures;formulations;and algorithms (including transfer)";"Computer vision;Codes;Focusing;Transformers;Convolutional neural networks;Task analysis";"computer vision;convolutional neural nets;deep learning (artificial intelligence);multilayer perceptrons";"Accumulated Trivial Attention matters;Accumulated Trivial Attention weights;accumulated trivial weights;attention noise;computer vision tasks;global attention;long-range dependencies;multihead self-attention modules;multilayer perceptron;nontrivial attention;nontrivial ones;proposed Trivial WeIghts Suppression Transformation;small datasets;Tiny-ImageNet datasets;Vision Transformers";;2;;44;IEEE;6.2.2023;;;IEEE;IEEE Conferences
